Date,Item Code,Wholesale Price (RMB/kg)
01-07-2020,1.029E+14,3.88
01-07-2020,1.029E+14,6.72
01-07-2020,1.029E+14,3.19
01-07-2020,1.029E+14,9.24
01-07-2020,1.029E+14,7.03
01-07-2020,1.029E+14,4.6
01-07-2020,1.029E+14,4.2
01-07-2020,1.029E+14,2.1
01-07-2020,1.029E+14,3.44
01-07-2020,1.029E+14,4.64
01-07-2020,1.029E+14,5.76
01-07-2020,1.029E+14,6.56
01-07-2020,1.029E+14,1.63
01-07-2020,1.029E+14,10.8
01-07-2020,1.029E+14,4.06
01-07-2020,1.029E+14,9.23
01-07-2020,1.029E+14,3.97
01-07-2020,1.029E+14,8.16
01-07-2020,1.029E+14,7.83
01-07-2020,1.029E+14,4.32
01-07-2020,1.029E+14,7.58
01-07-2020,1.029E+14,8.47
01-07-2020,1.029E+14,5.65
01-07-2020,1.029E+14,4.13
01-07-2020,1.029E+14,10.29
01-07-2020,1.029E+14,3.6
01-07-2020,1.029E+14,7.5
01-07-2020,1.029E+14,12.1
01-07-2020,1.029E+14,6.16
01-07-2020,1.029E+14,8.24
01-07-2020,1.029E+14,11.69
01-07-2020,1.029E+14,4.44
01-07-2020,1.029E+14,6.03
01-07-2020,1.029E+14,29.43
01-07-2020,1.029E+14,6.81
01-07-2020,1.029E+14,4.63
02-07-2020,1.029E+14,3.93
02-07-2020,1.029E+14,4.23
02-07-2020,1.029E+14,3.18
02-07-2020,1.029E+14,9.19
02-07-2020,1.029E+14,7.03
02-07-2020,1.029E+14,4.52
02-07-2020,1.029E+14,4.23
02-07-2020,1.029E+14,2.1
02-07-2020,1.029E+14,3.58
02-07-2020,1.029E+14,4.57
02-07-2020,1.029E+14,5.71
02-07-2020,1.029E+14,3.72
02-07-2020,1.029E+14,1.46
02-07-2020,1.029E+14,10.8
02-07-2020,1.029E+14,4.05
02-07-2020,1.029E+14,8.9
02-07-2020,1.029E+14,3.97
02-07-2020,1.029E+14,8.05
02-07-2020,1.029E+14,7.27
02-07-2020,1.029E+14,4.48
02-07-2020,1.029E+14,7.33
02-07-2020,1.029E+14,7.88
02-07-2020,1.029E+14,5.76
02-07-2020,1.029E+14,4.11
02-07-2020,1.029E+14,10.13
02-07-2020,1.029E+14,3.6
02-07-2020,1.029E+14,6.46
02-07-2020,1.029E+14,12.13
02-07-2020,1.029E+14,6.15
02-07-2020,1.029E+14,7.1
02-07-2020,1.029E+14,8.24
02-07-2020,1.029E+14,6.83
02-07-2020,1.029E+14,11.75
02-07-2020,1.029E+14,4.44
02-07-2020,1.029E+14,5.52
02-07-2020,1.029E+14,29.54
02-07-2020,1.029E+14,6.85
02-07-2020,1.029E+14,4.76
03-07-2020,1.029E+14,3.57
03-07-2020,1.029E+14,4.61
03-07-2020,1.029E+14,3.79
03-07-2020,1.029E+14,9.2
03-07-2020,1.029E+14,6.76
03-07-2020,1.029E+14,3.89
03-07-2020,1.029E+14,4.3
03-07-2020,1.029E+14,2.11
03-07-2020,1.029E+14,3.75
03-07-2020,1.029E+14,4.42
03-07-2020,1.029E+14,5.7
03-07-2020,1.029E+14,6.56
03-07-2020,1.029E+14,1.48
03-07-2020,1.029E+14,10.8
03-07-2020,1.029E+14,4.05
03-07-2020,1.029E+14,8.97
03-07-2020,1.029E+14,3.98
03-07-2020,1.029E+14,7.9
03-07-2020,1.029E+14,6.75
